,Modified_Commentary
9094,"SIX, batsman has finished off the things in style. team win by 6-wickets and go top of the table. Incredible hitting from the southpaw. Hold On! Umpires are still checking whether that ball hit the rope on the full. It's a six and Delhi has sealed the victory!"
9095,"FOUR, another sublime shot by Shikhar! Puts on his dancing shoes and bludgeons the shortish delivery through mid-on. The fielder was very square, hence this was always heading to the fence"
9096,"SIX, what a superb shot by Shikhar! Trying to outplay the shots played by Rahane. Goes down on his knee and picks this one up with nonchalance to clear the fine leg fence"
9097,"FOUR, he loves to bat on these kind of tracks, doesn't he? Walks down the wicket and lifts it over the bowler's head for four more. There was a fielder at long-on but this just manages to beat his sprint"
9098,"FOUR, Gopal struggling against the left hander! batsman goes down on his knee and lifts the tossed up delivery over square leg for four runs this time around"
9099,"FOUR, some lovely wristwork from batsman. Length ball at the stumps, picks it away through midwicket with great force off the wrists"
9100,"FOUR, short of length at the body, Shaw's arms don't have the space to move freely, but he manages enough power through the swing to heave this over midwicket"
9101,"1 run, Ashton Turner is having a nightmare. After three ducks in a row, he's now put down a skier. Thick top-edge on the pull shot from Shaw, Turner went back from position at midwicket to get under it, but it bounced off his palms"
9102,"FOUR, walks across the stumps, receives a full toss and paddles it past short fine leg"
9103,"FOUR, swats the off-cutter through midwicket for four more. He's looking in ominous touch. Just sits up so beautifully on this pitch for batsman to have a biff"
9104,"1 run, driven off the back foot wide of Smith at extra cover. Good effort there with the dive, but can only make a half-stop, not enough to stop batsman from getting to his fifty. He's gone a few notches higher in these last few games"
9105,"FOUR, short ball from Parag which is almost nonchalantly dispatched through midwicket. Way too easy"
9106,"FOUR, short googly outside off, really ordinary stuff, and batsman isn't in the mood to let them get away. Smashes the pull wide of deep midwicket"
9107,"out Stumped!! Gopal's come back superbly. He's spotted batsman advance down the pitch, and so he's fired this well wide outside off to beat him. Samson completes a nice stumping. batsman st Samson b bowler 54(27) [4s-8 6s-2]"
9108,"out Caught by Stokes!! Iyer holes out at deep midwicket. Maybe the perils of good form, which gave him enough confidence to go after the bowling straightaway. But this comes right off the toe-end as he heaves it from outside off. Easy catch for Stokes. batsman c Stokes b bowler 4(5)"
9109,"FOUR, batsman at his sublime best! Not all that full but a hint of width and he trusts the surface by driving on the up. Relied on timing and placed it through the crowded off-side cordon. Raced away past point in a flash"
9110,out Samson Run Out!! Absolute waste of a wicket! Samson is livid as he walks back to the hut but he is also partly to blame. Was an in-angler on a good length and batsman dabbed it towards the short mid-wicket region. Always was a risky run with bowler quickly moving across in his followthrough and there is a massive mix up with Samson way down the track. All three stumps to aim at and bowler doesn't miss. Not the start that the Royals were looking for. Samson run out (bowler) 0(0)
9111,"FOUR, crisply struck! Another delightful shot from batsman. Overpitched and he is well forward to this one, times the straight drive with aplomb to send it racing past the right of mid-off"
9112,"FOUR, typical Steven batsman! All wristy. Ambles down the pitch and uses those whippy wrists to time and place the flick in the gap wide of long-on"
9113,"FOUR, stays inside the crease this time, uncorks his wrists and flays the cut in the gap behind point"
9114,"1 run, skates down and flicks the flatter delivery off his pads to deep mid-wicket. 100-run partnership's up"
9115,"FOUR, poor delivery from bowler! Bowls a slower ball but he's dished it on batsman's pads, tickled away past short fine. Easy!"
9116,"FOUR, this is batting practice for Steven batsman. He had all the time in the world to smash this slower length ball outside off and smash it he does. Clears his front leg and clobbers it wide of the fielder at long-on"
9117,"FOUR, make that three in a row! Too full and batsman slices the drive behind point"
9118,"SIX, this is innovation at its very best! Moved across his off-stump and uses Morris' pace to lap the full ball high and over the fine leg fence"
9119,"FOUR, that's just a check shot and batsman timed that to perfection. Waits for the pitched up delivery to arrive and crunches it with a straight bat face, no heavy backlift but it still flies over the man at mid-off"
9120,"1 run, biffed to mid-off and that'll be Steven batsman's 8th IPL fifty"
9121,"out Caught by Chris Morris!! How often have we seen this? A batsman throwing it away after reaching the milestone. batsman uses his feet, looks to go straight and throws his weight into the lofted hit over mid-off, he seemed to have got enough height on that but Morris set himself cleverly on the edge of the long-off boundary to claim a well-judged catch. batsman c Chris Morris b bowler 50(32) [4s-8]"
9122,"FOUR, comes dancing down the pitch and punch-drives the full delivery to the left of mid-off, batsman batting with full freedom and he has got the license to do that"
9123,"FOUR, timed! That's what you get with class players like batsman. Just stands his ground, waits for the fullish delivery to arrive and chips the drive over cover with an air of confidence. All the way..."
9124,"FOUR, full toss around the knee roll, batsman stays still and flicks it over the square leg umpire. No need to run for those..."
9125,"out Caught by Shreyas Iyer!! batsman is disappointed with himself and rightly so. He's failed to take toll of a full toss. Doesn't really move around the crease, just looks to power it away over mid-wicket but doesn't get the required timing on that. Catching practice for Shreyas Iyer at long-on. batsman c Shreyas Iyer b bowler 8(8) [4s-1]"
9126,"2 runs, batsman drives this one to long-off and calls for two. The throw came in at the bowler's end and Turner just manages to get back in, the throw was a flat one but a direct-hit would have been curtains for the Austraian"
9127,"2 runs, relief for batsman! What a fantastic knock this has been. Notches up his second IPL century and raises his bat to acknowledge the crowd. There was no need for him to bat down the order. This is where he's at his best - as an opener. Plays the length delivery with soft hands to long-on and manages to storm back for two. Take a bow Jinx!"
9128,out Caught by Rutherford!! Hat-trick of golden ducks for batsman! Becomes the first ever batsman to get out for five successive ducks in T20 cricket. Can you believe it! Things going from bad to worse! Gets deceived due to the slower delivery once again and chips the fullish delivery straight to Rutherford at extra cover. batsman c Rutherford b bowler 0(1)
9129,"FOUR, not a great day for bowler in the field. Since that run-out of Samson, nothing has gone his way. Even this was a false shot but the end result is a boundary. Nothing's working for the speedster. Drags back the length on his delivery and batsman ends up top-edging it over the keeper's head as he hacks across the line"
9130,"FOUR, boundary to end the over but Morris wouldn't mind - concedes only 8 runs in it. This was in the slot and batsman heaves it into the vacant region at cow-corner. The fielder was perhaps inside the circle and that shall be four more for the all-rounder"
9131,"out Bowled!! You miss, I hit. bowler goes full and straight, very close to a yorker. batsman makes room to smash that but the speed is enough to beat him. Goes through his flashy drive and knocks over the middle-stick. Picks up the ball and hands over to bowler too. batsman b bowler 19(13) [4s-2]"
9132,"FOUR, that's a full toss on the pads and batsman whips it past the man at fine leg who had no chance to stop this. He was a touch too fine in order to cut this down"
9133,"FOUR, whipped over the infield! Clever batting from batsman, got one tossed up and he didn't go hard at this one. Just used his wrists and ensured that he got it over mid-wicket as there was nobody in the deep. Makes terrific contact and reaps the reward. He's looking good tonight"
9134,"out Bowled!! Bull's eye! bowler cleans up Parag with a full toss as the batsman backs away to smash the ball away. At the speed of which bowler is bowling, it's never so easy. The leg stump is uprooted but Rajashtan have managed to post an excellent score of 191/6. batsman b bowler 4(3) [4s-1]"
9135,"FOUR, just past a diving Rabada! Was always difficult for him to take this but made a heroic effort nevertheless. Pitched by bowler and batsman went for loft down the ground. Got it straight but Rabada from mid-on sensed it and moved swiftly to his left before diving mid-air. Past him and to the fence"
9136,"no run, Ishant spills a sitter! Embarrassing stuff from team's senior man. batsman shuffled well across for the sweep and skewed it aerially to short fine leg. Straightforward take but Ishant spills it. How costly will this be?"
9137,"SIX, superb hit! Adding insult to injury, is batsman. Charges down on seeing the flight and hoists it merrily straight down the ground. Plenty of elevation and also has the distance as this crashes into the sightscreen"
9138,"FOUR, Ishant won't want to watch this, his drop has started to cost heavily already. Flatter one from bowler and batsman gets across to sweep this well over short fine leg. Clean strike and more runs"
9139,"SIX, excellent hit from batsman! Refreshing intent from the team former captain and he is wading into the bowling. Short of a length from bowler and Jinks just backs away to flat-bat this down the ground. Such fine connection that it goes all the way. Superb stuff!"
9140,"FOUR, batsman is in overdrive in this Powerplay. Raining boundaries at the moment. bowler spills one on the pads and that's criminal with fine leg up. batsman just gets a tickle on it and sends it racing past that fielder to the fence in no time"
9141,"2 runs, superb running and it's an easy brace. Was knocked gently through mid-on and with the dimensions being as big as it is, there's a two to be had if you can run hard"
9142,"FOUR, fist pump from batsman as he gets to his fifty! Seems determined to make a statement tonight and to be honest, it's been his best knock in ages. Fractionally short and he dispatches the pull over mid-wicket. There is a man in the deep but Jinks has placed it wider. He is flowing freely at the moment, needs to bat through from team's POV"
9143,"FOUR, brilliant placement! There is a fine leg and deep mid-wicket in place but batsman has bisected them beautifully. Gets on the pads and he duly flicks it through square leg. Called for two but such is the timing that it leaves the deep fielders with no chance of getting to it"
9144,"FOUR, excellent placement from batsman! Uses his feet, gets closer to the pitch of the delivery and whiplashes it over mid-wicket, right in the gap between the fielders in the deep"
9145,"FOUR, batsman unleashing class! Skips out of his crease and plays a gorgeous inside out drive over extra cover with sublime timing"
9146,"FOUR, batsman is looking unstoppable at the moment! Picks the arm-ball, settles on one knee and paddles it fine of the fielder at short fine"
9147,"out Stumped!! Walks right past the googly, didn't have a clue about it! Fuller length from Rashid, pitched around middle and batsman was looking to work it through the on-side, expecting a leg-break. But he's wrong. He's also reaching for the ball, as it has pitched well short of him, and so the balance - the lack of it - takes him out of the crease. Excellent stumping from Bairstow. batsman st Bairstow b bowler 38(24) [4s-6 6s-1]"
9148,"FOUR, short of length outside off, guides it with an open face between backward point and short third man"
9149,"FOUR, great crack of the bat as batsman crunched this flat-batted swipe wide of deep midwicket. Sandeep's slower ball was short in length and sat up"
9150,"SIX, brings up his fifty in thunderous style! batsman roars back to form for team. Short ball, 116kph, and it goes soaring into the second tier"
9151,"FOUR, smashed away! A trifle too short from Rashid and batsman picked the length early. Swivelled and pulled it hard, bisecting deep mid-wicket and long-on perfectly"
9152,"FOUR, smacked away by batsman! Got down on his knees and swept this hard in front of square through the leg-side. Sandeep got across with a slide but couldn't palm it away properly"
9153,"SIX, batsman is putting on a show alright! This is what confidence can do. He's a different player now and in some mood. Gets a flattish low full toss that's sent over cow corner with a slog sweep. Such a clean hit and he stares at Rashid"
9154,"FOUR, he's in autopilot mode now, batsman! Gets to 8000 T20 runs! Not a bad ball, almost the perfect wide yorker from bowler but batsman is in the zone now. Waits deep in the crease and opens the bat face late. Bisects short third man and backward point easily"
9155,"FOUR, deft once again! batsman wants to finish this in a hurry. Slightly shorter this time, not much room but he plays is late with an open face. Gets it wide of Bairstow and short third man had no chance"
9156,"SIX, smokedddddddddddd! Nothing much you can do when batsman is hitting them like this. Not even Rashid has any answers. Tossed it up, inviting the big hit and that it was for sure. Blasted away by batsman over long-on for a mammoth blow"
9157,"FOUR, 15 off the over! batsman is motoring towards yet another IPL century! Too short from Rashid and the Aussie sits back to pull this away through backward square leg. Short fine leg is the only man there"
9158,"SIX, this is some hitting from batsman! Slower and short, climbs onto the short ball and muscles it over deep mid-wicket. Another huge hit!"
9159,"out Caught by Bairstow!! batsman is walking! No century but hasn't he put on a show tonight or what! Was a good short ball from bowler and batsman got rushed on the pull. There was a definite top edge as it went through to Bairstow who took a stunning one-handed catch, diving to his left. The umpire was probably blinded and didn't know what to do. batsman did the right thing, would have been out anyway if team reviewed this. Ends a sensational knock from one of IPL's and T20 cricket's legend. batsman c Bairstow b bowler 96(53) [4s-9 6s-6]"
9160,"SIX, that's the game! Slower ball and Jadhav charged down for the swipe over mid-wicket. Was a skimmer and Pandey in the deep showed good awareness as he caught this mid-air in an attempt to palm it back. Managed to parry it as well but the foot touched the ground outside the ropes Just 2 needed now!"
9161,out Caught by Shankar!! Anti-climax for the team fans in the stadium. batsman wanted the winning hit but departs. Ends up miscuing the pull and top edges it straight in the air. Dolly for Shankar at mid-off and he gobbles it up. It's been a scratchy season for batsman and today is another innings of that kind. batsman c Shankar b bowler 21(25) [4s-1]
9162,"out batsman Run Out!! Appeal for a run-out taken upstairs! It's a direct-hit, mind you. Looks very close. Although batsman had put in a dive at the bowler's end, it's not enough. Touch and go! The batsman had driven the ball to Hooda at mid-off and a direct-hit at the bowler's end brings curtains to the South African's stay at the crease. Another awful start for team this season. batsman run out (Hooda) 1(7)"
9163,"FOUR, batsman gets off the mark with a glorious off-drive. Gets hold of the overpitched delivery, presents the full face of his willow and creams it past the fielder at mid-off. Great shot to open his account"
9164,"FOUR, that shall give him some confidence! Tad full in length around middle and leg, batsman goes down on his knee and sweeps it uppishly over square leg. Almost went the distance"
9165,"SIX, short of length on middle, this off-cutter from Khaleel sits up nicely to be whacked. And batsman isn't one to refuse such opportunities. Belts it over the square leg boundary"
9166,"FOUR, length ball outside off, batsman plants his foot back in the crease and hoists it over extra cover. Extraordinary shot, generating all that power from the bottom hand. Vijay Shankar's diving effort in the deep not enough"
9167,"FOUR, short balls have had a history of troubling batsman, true, but not at 118kph. Muscles this pull well in front of square"
9168,"FOUR, slower length ball on leg stump, too easy for batsman who is well aware of short fine leg's presence inside the ring. Just whips it past the man"
9169,"FOUR, this isn't intentional, but it's useful. Length ball outside off, batsman had charged down looking to biff no matter what. So it doesn't matter to him that the ball's far away. He throws his hands at it, and ends up slicing it off the outside half over short third man"
9170,"FOUR, fourth boundary of the over, third one in a row. The shackles have been broken. Slower ball on middle, batsman swipes agriculturally and gets enough off the inside half to impart the legs to roll into the square leg boundary"
9171,"SIX, massive over for team, 22 off it. Short of length on leg stump, pulls it away ferociously and hits the cushions on the full"
9172,"SIX, this time he does get under the short ball, and absolutely pummels it over backward square. It's his favourite pull shot, and bowler's lack of bounce isn't going to dissuade him once the length's there"
9173,"FOUR, Rashid jumps away from the path of this bullet-drive from batsman. He had made the mistake of overpitching, but he wasn't going to make the mistake of risking himself once batsman drilled it back. Smartly so"
9174,"FOUR, short ball outside off, seemed like an intentional dab from batsman, although Warner wasn't far from getting a hand at slip. With the pace of Rashid, this absolutely flew off batsman's bat"
9175,"1 run, dropped by Bairstow! It was a meaty outside edge from batsman, who was looking to swing through the line of this full ball. Bairstow dives to his right, goes with one hand, but it doesn't stick"
9176,"byes, FOUR, goes right through batsman, but bounces over the stumps. That's beaten everyone. An absolute ripper from Rashid"
9177,"out Caught by Dhoni!! An excellent IPL comes to a sorry end for Jonny. And bowler as he has done throughout this IPL delivers for team with the new ball. It was a quicker one and was wide of off, it skids off the deck, takes the outside edge of batsman who plays down the wrong line. And Dhoni makes no mistake, he never does! batsman c Dhoni b bowler 0(2)"
9178,"FOUR, intent from batsman straightaway, much better from the Karnataka lad. It was a flighted delivery and was spinning back into Manish, he plunges forward and lofts it straight down the ground for a boundary"
9179,"FOUR, Pandey is absolutely belting it today! Sees the slower full ball dip outside off and times the slap-drive to perfection, raced away to the deep cover fence"
9180,"FOUR, one of batsman's best IPL innings this, brings up his fifty in 25 balls. Picks the slower ball early, times his swivel and pulls it past the diving left hand of short fine"
9181,"1 run, quicker on middle and leg, tucked away into the leg-side and that'll be 43rd IPL fifty for David batsman"
9182,"FOUR, he's in overdrive is batsman! Jumps out of his crease, shows no signs of fear and pumps bowler straight down the ground for a one-bounce boundary"
9183,"out Stumped!! Gives it plenty of air and catches batsman on the move. No balance from pocket rocket, swings wildly and the bottom hand comes off while doing so, his back foot got dragged too far in the process and Dhoni ain't missing that stumping chance. batsman st Dhoni b bowler 57(45) [4s-3 6s-2]"
9184,"SIX, effortless stroke from Vijay batsman! Lets the googly dip and marmalizes it for a 84-metre maximum over long-on"
9185,"SIX, dispatched! Short in length around off and batsman pumps it over the cow corner for half a dozen! Sweetly timed blow"
9186,"FOUR, another fine shot by batsman! Looks in sublime touch. Reaches out for the overpitched delivery wide ball and chips it over cover-point. There were two fielders inside the circle and this ball cleared them by some distance"
9187,"1 run, Raina drops a sitter! Not only his batting, but his fielding hasn't been great either. A couple of misfields earlier in the innings and now he puts one down. Pandey got deceived due to the slower delivery as he miscued it towards mid-off where Raina fails to cling on to the catch"
9188,"FOUR, in the slot and batsman drags it over the infield at mid-wicket. There were two fielders in the deep but this was placed right into the gap as he heaved the length ball across"
9189,out Caught by Jadeja!! Deepak bowler ends his spell with a wicket. Just 7 runs in that over. batsman was looking to clear the deep mid-wicket fence with this heave but he couldn't get the timing right. Holes out to the fielder in the deep and that brings an end to batsman's handy cameo. batsman c Jadeja b bowler 26(20) [4s-2 6s-1]
9190,"FOUR, you cannot miss your length by an inch against batsman. It was marginally short and was directed on the body, batsman gets in an excellent position and times the pull shot brilliantly. It goes over square leg and races to the fence"
9191,"SIX, batsman attacks bowler straightaway and gets a maximum. This is going to be an interesting battle. It was a flighted one and was on the stumps, batsman takes a good stride forward and lofts it straight down the ground for a maximum"
9192,"SIX, Pandey Ji means business today! He has promoted to number three and he looks in no mood to waste this opportunity. It was an offie on the stumps and batsman larrups it over long-off for a maximum"
9193,"FOUR, that's a tennis forehand, Roger would have been proud of that. It was a good length delivery and was just wide of off, nothing wrong with the delivery. But batsman flat-bats it wide of the bowler and the timing was so good that it canters to the fence"
9194,"FOUR, smashed! It as full and was on the stumps, batsman pumps it down the ground, bowler did well to get his head out of the way. It runs along the carpet for another boundary"
9195,"FOUR, flighted delivery down the leg-side, batsman goes deep in the crease and tucks it wide of the leg-slip, it beats short fine and will reach the boundary too. Pandey is on fire!"
9196,"FOUR, Dhoni shouts Na na na from behind as it was a short one, it was wide of off too. batsman rocks back and cuts it wide of short third. Another boundary for Pandey!"
9197,"FOUR, dispatches the first delivery of bowler for a boundary. It was wide of off, batsman plunges forward and tonks it wide of deep mid-wicket for a boundary. It spilts the gap to perfection"
9198,"1 run, sharp bumper on the face, batsman was surprised by how quickly it came to him. He mistimes the pull totally and ends up hitting it just to the left of the side wicket. Bravo charges quickly towards but fails to pick up the ball cleanly. And he is gutted with himself"
9199,"SIX, launched!! Slightly fuller and in the arc for batsman, he stays low and smokes it into the stands over cow corner"
9200,"SIX, that's the biggest of the lot! Pandey on fire...picks up the flight, gets underneath it and hammers it high and soaring into the second tier over long-on"
9201,"FOUR, batsman is underway! Fullish ball outside off, batsman reaches out and throws the kicthen sink. Sliced over point and the Universe Boss collects his first boundary"
9202,"FOUR, nicely done! Not a shot that you'd normally assocciate with batsman. Short of a length ball outside off and the lefty used the bowler's pace to guide it through backward point and short third man"
9203,"FOUR, 14 off the opening over! bowler continues to have a terrible IPL. A wide half-volley outside off and batsman flays it over backward point. Third boundary for batsman!"
9204,"FOUR, another bad ball! Slants in a back of a length delivery at 137kph, straighter line as well. batsman, with one leg off ground, controls the pull through backward square leg"
9205,"FOUR, horror ball! An overpitched delivery on the pads - almost pleading the batsman to punish. And, KL doesn't miss out. Flicks it handsomely behind square on the leg-side"
9206,"out Caught by Southee!! Ali strikes with his very first ball. His introduction was too tempting for batsman, who advanced down and wanted to loft it straight. But he gets too close to the pitch of it, and miscues it off the toe-end for a simple catch at long-off. Kohli explodes in celebration, probably even gave a send-off. Two new batsmen at the crease now. batsman c Southee b bowler 42(27) [4s-7 6s-1]"
9207,"SIX, he has got his eye in and he has smashed this one for a gigantic six. It was a fuller length delivery on the stumps, batsman backs away, clears his leg, gets under it and tonks it over long-off for a maximum"
9208,"SIX, another six. batsman gave himself room again, bowler follows him but batsman still had enough room to clear his arm and dispatch it over long-off again"
9209,"SIX, third six off the over! In the same area again. It was very full and on the leg-stump, batsman gets under it and launches it over long-off again. Into the stands"
9210,"FOUR, batsman looks in his elements today. It was a slower one on the stumps, batsman picks it up early, delays his bat swing and smashes it over cover for a boundary"
9211,"SIX, Mr batsman why were you hiding in the dressing room in the previous matches. It was a flighted one on a good length, batsman backs away, makes room and dispatches it over long-off"
9212,"SIX, fifth six for batsman. He is putting on a show here. batsman clears his leg, keeps his shape and tonks it over long-on for another six. He is dealing in sixes at the moment!"
9213,"FOUR, batsman welcomes bowler with a four. It was a good length delivery on the stumps, batsman wanted to cut it wide of backward point, gets an outside edge and it races fine of third man for a boundray"
9214,"FOUR, back-to-back boundaries for batsman. It was a slower one on the stumps, batsman picks it up early and powers the pull shot wide of deep mid-wicket for another four"
9215,"1 run, the horror IPL for team in the field continues. It was a sitter, an absolute sitter. Kohli must be livid, he has turned his face away from the camera. It was a length delivery on the stumps, batsman fails to time the heave. It was in the air for an eternity and Stoinis at long-on had all the time in the world to settle himself. He spills it though"
9216,"out Caught by de Villiers!! ABD dives and ABD snaffles it. Kohli with the fist pump. It was a length delivery on the stumps, batsman wanted to smash it over long-on. He hasn't timed it all evening and he failed to do so on this occassion also. ABD dives to his right emphatically and takes a beauty! batsman c de Villiers b bowler 24(25) [4s-2]"
9217,"out Caught by de Villiers!! ABD takes it again. He is having a dream of a match. And the dangerous batsman departs. team are surely winning it now. He fails to get under the delivery, swings hard at it. It goes a long way up in the air and lands in safe hands of ABD. batsman c de Villiers b bowler 46(28) [4s-1 6s-5]"
9218,"SIX, wow! batsman has dispatched it for a six. Can he replicate MSD? Yadav misses the yorker, batsman comes under it and pumps it over long-on"
9219,"out Caught by Kohli!! No, no, no. batsman is no Dhoni. And he has hit it straight to Kohli who it seems was asking batsman what the heck he was doing? batsman fails to get under it and mistimes it, hits it straight to Kohli at long-on. batsman absolutely throws his gloves after crossing the fence. He is frustrated, well that's an understatement. batsman c Kohli b bowler 6(2) [6s-1]"
9220,"out Caught by Parthiv Patel!! Two in two for Yadav. And he will be on a hat-trick! Umesh has won the match for team. It was a short of length delivery near the left shoulder, batsman was hurried on the pull shot. It clips his glove and Parthiv takes a good catch diving to his left. batsman c Parthiv Patel b bowler 0(1)"
9221,"1 run, dropped! Kohli drops a dolly. He might have been more worried about the celebration. Slower one on the stumps, batsman is completely deceived and he still goes through with the big hit, mistimes it towards long-on and the team skipper makes a mess of it"
9222,"FOUR, batsman greets the new bowler with a boundary. Shortish ball at 139.7kph, batsman stays back in the crease and pulls it straight of mid-on. He got it almost off the toe end, but that's more than enough to run away for a boundary"
9223,"FOUR, shot! Class written all over it. A short of length ball at 145.1kph, batsman gets on top of it and punches it superbly through the covers, beating a diving Chahal"
9224,"FOUR, Saini over-corrects. He doles out a half-volley at 146.4kph outside off. batsman gets forward and plays the lofted off-drive over extra cover"
9225,"SIX, this is bad bowling! A full toss and batsman doesn't need second invitation to put it away. Hoisted over long-on for half-a-dozen"
9226,"out Caught by de Villiers!! batsman's gone, Kohli is pumped. Umesh Yadav shortens his length and batsman is a touch late into his stroke. The southpaw was trying to heave it away and got it slightly off the top edge. Almost went the distance, but there was a fielder manning the fence. AB, at long-on, takes a calm catch. batsman c de Villiers b bowler 23(10) [4s-4 6s-1]"
9227,"FOUR, wow! Those wrists. Full ball on leg - a hit-me delivery and batsman whips it over mid-wicket"
9228,"FOUR, stylish from Mayank batsman, whipping a length ball round his front pad. Nice bent front knee there, as he picked it away from off stump to the long leg boundary"
9229,"FOUR, if the last one was batsman's brilliance, this one is bowler's mediocrity. Strays on leg stump and is glanced fine for four"
9230,"SIX, this one drifts in on leg, sliding on with the arm, and batsman just lifts it through the line over long-on. A shot requiring great ability, especially as he's not to the pitch"
9231,"FOUR, now he waits on the inevitable short ball and latches onto it. Cut away through the gap at point"
9232,"FOUR, that's been absolutely lambasted through extra cover. Back of a length outside off, batsman slaps it red, leaves a vapour trail enroute to the boundary"
9233,"FOUR, good length ball outside off, tentative footwork from batsman. But it doesn't cost him. Instead, he benefits. The loose poke results in an outside edge which runs away fine to the third man boundary"
9234,"FOUR, short of length at the body, batsman's eyes aren't on the ball all the way through, but he's controlled the pull nicely behind square. And the timing is brilliant, even though he's checked the shot"
9235,"SIX, skims over long-off's reach! Picked the googly there, which was overpitched anyway, and hammered it down the ground. Would've been worried for a brief moment, as he hadn't found the elevation, but it's high enough to escape Saini's one-handed leap"
9236,"FOUR, short ball on off stump, which to be fair isn't that short as batsman's made it out to be. He collapses his back leg to get low and swats it wide of long-on"
9237,"out Caught by Chahal!! He's got this pull high on the bat, and the miscue is taken at midwicket. bowler screams in celebration, Kohli screams louder. Short of length, it was onto batsman quicker than he expected, and so there was no timing on the shot. Much needed for the team. batsman c Chahal b bowler 35(21) [4s-5 6s-1]"
9238,"FOUR, 135ks hint of width outside off and Parthiv lashes on it with a fierce cut through point. team and batsman off the mark in style"
9239,"FOUR, 137ks, keep that coming says batsman...leans onto his front foot and hammers the pitched up delivery straight back over his skipper"
9240,"no run, dropped! Hardus Viljeon is the fielder. Full and swinging into the pads, batsman unleashes his whippy wrists and sends a dolly of a catch to mid-wicket where Viljeon makes an absolute Bisi Bele Bath (dal rice) out of it. Oh dear!"
9241,"FOUR, adding insult to injury. This one sits up outside off on a good length and batsman doesn't need any second invitation, holds his pose and crunches it wide of cover-point"
9242,"FOUR, make that two in a row! This one's slightly wide of extra cover but batsman has timed the punch-drive to perfection"
9243,"FOUR, a gimme on the pads, batsman gets inside the line and helps it away to the fine leg fence, bowler's pace takes care of the rest"
9244,"SIX, much needed six for batsman and team. Also gets the crowd out of their slumber. Tosses up the leg-break and offers space for batsman to free his arms, he muscles it over long-off"
9245,"FOUR, can't bowl short at 135.2ks to batsman, he rocks back and nails the pull over mid-wicket. Couple of bounces and into the fence. team will hope this can get AB going"
9246,"SIX, and again.. bowler persists with the short of length delivery, this time batsman decides to put him in the crowd, quick swivel on the back foot and the pull is sent over deep mid-wicket"
9247,"SIX, a hit-me delivery and batsman bludgeons it. Half tracker and batsman picked his spot - deep mid-wicket and sends the ball sailing into the crowd with a pull shot"
9248,"FOUR, that's a freebie from bowler! A low full toss at 139.7kph on the pads, batsman flicks it fine and the ball reaches the fence in a jiffy. The boundary brings up AB's fifty!"
9249,"SIX, watch out, those in the press box! Off-pace ball from bowler, but he's doled out a half-volley. AB batsman gets underneath it and bludgeons it downtown for a massive six"
9250,"SIX, slower ball at 124.2kph, it was wider outside off and batsman had to reach out for it. Slightly bends his back leg and lofts it over long-off"
9251,"SIX, back-to-back sixes! Almost an action replay off the previous ball. batsman was clearing his front leg, bowler bowls another slower delivery and AB smokes it over long-off"
9252,"SIX, make that three in a row! This one's landed on the roof! An above-waist full toss - not called a no-ball though. batsman, surprised by the height of the ball, takes his eyes off the ball, but managed to heave it over long leg. Incredible! Gayle, meanwhile, suggests that it was a fair delivery. Another non-no-ball controversy at the Chinnaswamy?"
9253,"SIX, batsman moves into the 80s. bowler bowls length - a crime at this stage and AB slogs it over cow corner for another sixer"
9254,"FOUR, full toss and batsman has flicked it away through backward square leg. team nearing 200!"
9255,"SIX, 17 off the over with two balls to go! In the slot and batsman has smoked it over long-on"
9256,"FOUR, high full toss - just below waist - and sliding down leg. batsman helps it on its way to the fine leg fence"
9257,"FOUR, one bounce and over the ropes! batsman picks the length early, swivels and bullies the pull shot over square leg umpire, fine leg had no chance"
9258,"SIX, 27 runs off the final over! Poor bowling from bowler. Another length delivery, sits up nicely for batsman, who swings his bat hard and deposits it over long-on"
9259,"out Caught by Mandeep!! batsman throws it away once again. Looks to thump the drive over the ring, but gets hit high on the bat and Mandeep takes a dolly of a catch (head-high) at extra cover. bowler always gets a bit of extra zip with his pace and the ball seem to have arrived much quicker than batsman anticipated. batsman c Mandeep b bowler 13(8) [4s-2]"
9260,"FOUR, 142ks sits up nicely outside off, AB thrashes it with a cross bat swing past the diving left hand of mid-wicket"
9261,"SIX, slower ball in the slot for batsman. Doesn't move an inch, just pumps it for a clean maximum straight down the ground"
9262,"FOUR, juicy length delivery outside off, Parthiv had plenty of time and he takes full toll of it, lifts the drive over mid-off with an air of nonchalance"
9263,"FOUR, full toss outside off, Parthiv leans back a touch and slices the drive behind point. The height on that seemed a bit touch-and-go but guess the umpire got it right"
9264,"FOUR, Parthiv is belting it to all corners. Poor bowling from bowler, gives plenty of width on offer outside off and that's been smashed over cover in a jiffy"
9265,"SIX, too easy for batsman! Angling in and perfect length to hoick, he creams it over mid-wicket for scintillating maximum"
9266,"out Caught by Ashwin!! The Ashwin duo does it. batsman stands in disbelief, he is cursing himself as he walks back to the pavilion. A well flighted delivery around middle and leg and thus, Parthiv thought he could flick it away into the leg-side, wasn't to be. Might have played the shot a touch too early and the leading edge pops up straight to the team skipper at extra cover. batsman c Ashwin b bowler 43(24) [4s-7 6s-2]"
9267,"FOUR, off the mark with a boundary, although a streaky one. Legbreak outside off, Moeen seeks to drive and feeds a thick outside edge which flies fine past the fielder at short third"
